timestamp,state,arduino_duration,motor_2_position,motor_1_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635953604.813966,1111,14.012,90,90,-0.001,2.01,0.0,0.0
1635953606.9105802,1111,2.094,0,0,-0.001,1.985,0.0,2.0966138839721684
1635953607.2510476,1111,0.33799999999999997,0,5,0.0,2.011,0.0,2.437081813812256
1635953607.591594,1111,0.337,0,10,-0.003,1.996,0.0,2.777627944946289
1635953607.930887,1111,0.33899999999999997,0,15,-0.003,2.0,0.0,3.1169209480285645
1635953608.2707462,1111,0.33899999999999997,0,20,-0.003,1.974,0.0,3.456780195236206
1635953608.614503,1111,0.33899999999999997,0,25,-0.003,1.9809999999999999,0.0,3.8005368709564213
1635953608.954419,1111,0.33899999999999997,0,30,-0.001,1.9509999999999998,0.0,4.140452861785889
1635953609.294376,1111,0.33899999999999997,0,35,-0.001,1.9609999999999999,0.0,4.480409860610962
1635953609.6382358,1111,0.33899999999999997,0,40,-0.001,1.974,0.0,4.824269771575928
1635953609.979224,1111,0.33899999999999997,0,45,-0.003,1.946,0.0,5.165257930755615
1635953610.319148,1111,0.33899999999999997,0,50,0.0,1.944,0.0,5.5051820278167725
1635953610.6595366,1111,0.337,0,55,-0.003,1.925,0.0,5.845570802688599
1635953611.002648,1111,0.33799999999999997,0,60,-0.003,1.919,0.0,6.1886820793151855
1635953611.343817,1111,0.33899999999999997,0,65,-0.004,1.921,0.01,6.529850959777832
1635953611.6830919,1111,0.33799999999999997,0,70,-0.001,1.9140000000000001,0.0,6.869125843048097
1635953612.0270662,1111,0.33799999999999997,0,75,-0.004,1.931,0.01,7.21310019493103
1635953612.367667,1111,0.33899999999999997,0,80,-0.001,1.92,0.0,7.553700923919678
1635953612.707359,1111,0.33799999999999997,0,85,-0.001,1.911,0.0,7.893393039703369
1635953613.051245,1111,0.33799999999999997,0,90,-0.004,1.942,0.01,8.237278938293457
1635953613.391665,1111,0.33899999999999997,0,95,-0.003,1.96,0.0,8.577698945999147
1635953613.7312374,1111,0.33799999999999997,0,100,-0.001,1.965,0.0,8.917271137237549
1635953614.074363,1111,0.341,0,105,-0.001,1.966,0.0,9.260396957397461
1635953614.4143891,1111,0.34,0,110,-0.004,2.003,0.01,9.600422859191896
1635953614.758749,1111,0.34,0,115,-0.003,2.052,0.0,9.944782972335817
1635953615.102844,1111,0.341,0,120,-0.003,2.092,0.0,10.288877964019775
1635953615.4428182,1111,0.34,0,125,-0.003,2.13,0.0,10.628852128982542
1635953615.786677,1111,0.34,0,130,0.0,2.1719999999999997,0.0,10.972710847854614
1635953616.127619,1111,0.33899999999999997,0,135,-0.001,2.2030000000000003,0.0,11.313652992248535
1635953616.4708679,1111,0.34,0,140,-0.001,2.235,0.0,11.656901836395265
1635953616.8109848,1111,0.341,0,145,-0.001,2.253,0.0,11.997018814086914
1635953617.1545699,1111,0.34,0,150,0.0,2.241,0.0,12.340604066848755
1635953617.494518,1111,0.33899999999999997,0,155,-0.001,2.204,0.0,12.680552005767822
1635953617.839683,1111,0.34,0,160,-0.001,2.164,0.0,13.02571702003479
1635953618.1785471,1111,0.34,0,165,-0.001,2.129,0.0,13.364580869674684
1635953618.522617,1111,0.341,0,170,0.0,2.099,0.0,13.708651065826414
1635953618.8631082,1111,0.33899999999999997,0,175,0.0,2.094,0.0,14.049142122268677
1635953619.207273,1111,0.33899999999999997,0,180,-0.001,2.121,0.0,14.393306970596313
1635953621.3488386,1111,2.142,5,0,-0.001,1.999,0.0,16.53487277030945
1635953621.6899898,1111,0.33799999999999997,5,5,-0.001,1.974,0.0,16.876023769378662
1635953622.029897,1111,0.33799999999999997,5,10,-0.001,1.982,0.0,17.215930938720707
1635953622.373964,1111,0.34,5,15,-0.003,1.956,0.0,17.559998035430908
1635953622.713773,1111,0.33899999999999997,5,20,-0.003,1.9609999999999999,0.0,17.89980697631836
1635953623.053832,1111,0.33899999999999997,5,25,0.0,1.954,0.0,18.239866018295288
1635953623.393727,1111,0.33899999999999997,5,30,-0.001,1.945,0.0,18.5797610282898
1635953623.7381911,1111,0.33899999999999997,5,35,-0.001,1.96,0.0,18.924225091934204
1635953624.077594,1111,0.33899999999999997,5,40,-0.003,1.954,0.0,19.263628005981445
1635953624.4176881,1111,0.34,5,45,-0.003,1.979,0.0,19.603722095489506
1635953624.761427,1111,0.33899999999999997,5,50,-0.001,1.959,0.0,19.947460889816284
1635953625.101396,1111,0.33899999999999997,5,55,-0.003,1.94,0.0,20.28743004798889
1635953625.441504,1111,0.34,5,60,-0.001,1.962,0.0,20.627537965774536
1635953625.784692,1111,0.33899999999999997,5,65,-0.003,1.949,0.0,20.970726013183594
1635953626.125396,1111,0.33899999999999997,5,70,-0.003,1.93,0.0,21.311429977416992
1635953626.465688,1111,0.33899999999999997,5,75,-0.003,1.952,0.0,21.651721954345703
1635953626.809336,1111,0.33899999999999997,5,80,-0.004,1.946,0.01,21.995369911193848
1635953627.149894,1111,0.33899999999999997,5,85,-0.001,1.9509999999999998,0.0,22.33592796325684
1635953627.488908,1111,0.34,5,90,-0.004,1.984,0.01,22.67494201660156
1635953627.833695,1111,0.33899999999999997,5,95,-0.004,2.009,0.01,23.019728899002075
1635953628.172529,1111,0.33899999999999997,5,100,-0.003,2.017,0.0,23.35856294631958
1635953628.5124428,1111,0.341,5,105,-0.001,2.092,0.0,23.69847679138184
1635953628.8570602,1111,0.34,5,110,-0.001,2.035,0.0,24.043094158172607
1635953629.2013721,1111,0.34,5,115,-0.001,2.031,0.0,24.38740587234497
